"State","Number of Species Listings"
"Alaska","8"
"Alabama","152"
"Arkansas","38"
"American Samoa","7"
"Arizona","75"
"California","288"
"Colorado","36"
"Connecticut","12"
"District of Columbia","3"
"Delaware","14"
"Florida","134"
"Georgia","79"
"Guam","32"
"Hawaii","484"
"Iowa","18"
"Idaho","17"
"Illinois","34"
"Indiana","31"
"Kansas","18"
"Kentucky","49"
"Louisiana","25"
"Massachusetts","18"
"Maryland","26"
"Maine","12"
"Michigan","26"
"Minnesota","21"
"Missouri","42"
"Northern Mariana Islands","32"
"Mississippi","53"
"Montana","17"
"North Carolina","73"
"North Dakota","7"
"Nebraska","14"
"New Hampshire","12"
"New Jersey","17"
"New Mexico","60"
"Nevada","49"
"New York","27"
"Ohio","29"
"Oklahoma","22"
"Oregon","47"
"Pennsylvania","20"
"Puerto Rico","70"
"Rhode Island","9"
"South Carolina","40"
"South Dakota","15"
"Outlying Pacific Islands","0"
"Outlying Caribbean Islands","0"
"Tennessee","132"
"Texas","112"
"Utah","44"
"Virginia","78"
"Virgin Islands","13"
"Vermont","6"
"Washington","32"
"Wisconsin","25"
"West Virginia","33"
"Wyoming","16"